Wave number,Location,LAT,LON,Province,Korean Name,Date,Time,Source
Ninth Wave,"Yangju-si Gyeonggi-do, South Korea",37.7933321,127.0752929,Gyeonggi Province,양주,"July 21, 2024",,
Ninth Wave,"Paju-si Gyeonggi-do, South Korea",37.87810132,127.0738515,Gyeonggi Province,파주,"July 21, 2024",,
Ninth Wave,"Namyangju-si Gyeonggi-do, South Korea",37.68386669,126.8192169,Gyeonggi Province,남양주,"July 21, 2024",,
Ninth Wave,"Goyang-si Gyeonggi-do, South Korea",37.68593719,127.2882531,Gyeonggi Province,고양,"July 21, 2024",,
Ninth Wave,"97 Jihaeng-ro, Dongducheon-si, Gyeonggi-do, South Korea",37.89322974,126.9324178,Gyeonggi Province,의정부지법,"July 21, 2024",,
Ninth Wave,"22-49 Geumo-ro 23beon-gil, Uijeongbu-si, Gyeonggi-do, South Korea",37.7571009,127.0592475,Gyeonggi Province,경기 의정부시 경기북부경찰청,"July 21, 2024",,
Tenth Wave,"Uijeongbu-si, Gyeonggi-do",37.70896836,127.0688661,Gyeonggi Province,의정부시 장암동 공공하수처리장,"July 24, 2024",,https://www.newsis.com/view/NISX20240724_0002824340
Tenth Wave,"1 Uisadang-daero, Yeongdeungpo District, Seoul, South Korea",37.53195349,126.9148413,Seoul Special City,국회의사당,"July 24, 2024",,https://www.news1.kr/politics/diplomacy-defense/5490195
Tenth Wave,"50 Yonsei-ro, Seodaemun-gu, Seoul, South Korea",37.56680601,126.9396595,Seoul Special City,연세대학교 ,"July 24, 2024",,https://www.news1.kr/politics/diplomacy-defense/5490195
Tenth Wave,"13 Yongsan-dong 4(sa)-ga, Yongsan District, Seoul, South Korea",37.53057022,126.9841318,Seoul Special City,용산 주한미군기지,"July 24, 2024",,https://www.news1.kr/politics/diplomacy-defense/5490195
Tenth Wave,"South Korea, Seoul, Gangseo-gu, Gonghang-dong, 150",37.56073929,126.8025631,Seoul Special City,김포공항,"July 24, 2024",,https://www.sedaily.com/NewsView/2DBV773JYX
Tenth Wave,"22 Itaewon-ro, Yongsan District, Seoul, South Korea",37.53132701,126.9763123,Seoul Special City,용산 대통령실,"July 24, 2024",,https://www.kmib.co.kr/article/view.asp?arcid=0020339725&code=61111611&cp=nv
Tenth Wave,"Naeyu-dong, Deogyang-gu, Goyang-si, Gyeonggi-do",37.72514613,126.8595748,Gyeonggi Province,경기 고양시 덕양구 내유동,"July 24, 2024",,
Eleventh Wave,"Geumsan-ri, Tanhyeon-myeon, Paju-si, Gyeonggi-do",37.80529988,126.7100999,Gyeonggi Province,파주시 탄현면 금산리 ,"August 12, 2024",,https://www.wikitree.co.kr/articles/975005
Eleventh Wave,"Gyesan-dong, Gyeyang-gu, Incheon, South Korea",37.53371629,126.737631,Incheon Metropolitan City,계양구 까치공원,"August 10, 2024",,https://www.newsis.com/view/NISX20240811_0002845604
Eleventh Wave,"110 Jakjeonseoun-dong, Gyeyang-gu, Incheon, South Korea",37.53226025,126.7458785,Incheon Metropolitan City,계양구 서운동 서운체육공원,"August 10, 2024",,https://www.newsis.com/view/NISX20240811_0002845604
Second Wave,"Seocho District, Seoul, South Korea",37.48617268,127.0947471,Seoul Special City,서울 서초구,"June 2, 2024",,https://www.news1.kr/politics/diplomacy-defense/5532578
Tenth Wave,"Nokcheon station, Seoul, South Korea",37.64530576,127.053329,Seoul Special City,서울 도봉구 녹천역 ,"July 24, 2024",,https://www.news1.kr/politics/diplomacy-defense/5532578
Tenth Wave,"Jeongdong-gil, Jung District, Seoul",37.56719992,126.9726261,Seoul Special City,서울 중구 정동길 ,"July 24, 2024",,https://www.news1.kr/politics/diplomacy-defense/5532578
Twelfth Wave,National Assembly Annex Building,37.53295825,126.920829,Seoul Special City,서울 여의도 국회 의정관,"September 5, 2024",,https://www.news1.kr/politics/diplomacy-defense/5532578
Thirteenth Wave,"Hanam-si, Gyeonggi-do",37.56069315,127.2443669,Gyeonggi Province,하남,"September 5, 2024",,https://www.jnilbo.com/74758671546
Twelfth Wave,"Yangpyeong-gun, Gyeonggi-do",37.50456089,127.5746568,Gyeonggi Province,양평,"September 5, 2024",,https://www.jnilbo.com/74758671546
Twelfth Wave,"Icheon-si, Gyeonggi-do",37.30377689,127.4948548,Gyeonggi Province,이천,"September 5, 2024",,https://www.jnilbo.com/74758671546
Twelfth Wave,"Paju-si, Gyeonggi-do",37.7848234,126.7917503,Gyeonggi Province,파주,"September 4, 2024",,http://www.kyeongin.com/main/view.php?key=20240906010000920
Twelfth Wave,"Gangneung-si, Gangwon-do",37.776113215485644,128.9234812343975,Gangwon Province,강릉 ,"September 4, 2024",,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8052999&ref=A
Twelfth Wave,"Hongcheon-gun, Gangwon-do",37.76328771,128.2425113,Gangwon Province,홍천,"September 4, 2024",,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8052999&ref=A
Twelfth Wave,"Hoengseong-gun, Gangwon-do",37.53339036,128.060855,Gangwon Province,횡성 ,"September 4, 2024",,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8052999&ref=A
Twelfth Wave,"Inje-gun, Gangwon-do",38.10106011,128.2618422,Gangwon Province,인제,"September 4, 2024",,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8052999&ref=A
Twelfth Wave,"Inje-gun, Gangwon-do",38.10106011,128.2618422,Gangwon Province,인제,"September 4, 2024",,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8052999&ref=A
Seventeenth Wave,"Gwangtan-myeon, Paju-si, Gyeonggi-do, 

South Korea",37.77842402,126.9005473,Gyeonggi Province,경기 파주시 광탄면,"September 9, 2024",,https://www.busan.com/view/busan/view.php?code=2024090916444454073
Sixteenth Wave,"43 Buheungbuk-ro, Bupyeong District, Incheon, South Korea",37.50275674,126.7295103,Incheon Metropolitan City,인천시 부평고등학교,"September 8, 2024",,http://www.kyeongin.com/main/view.php?key=20240908025083017
Fifteenth Wave,"South Korea, Incheon, Bupyeong District",37.50262487,126.7373826,Incheon Metropolitan City,인천 부평구 부개3동,"September 7, 2024",,https://www.kyeonggi.com/article/20240907580011
Fifteenth Wave,"Changchon-ri, Namsan-myeon, Chuncheon-si, Gangwon-do
South Korea",37.77943968,127.6409752,Gangwon Province,강원도 춘천시 남산면 창촌리,"September 7, 2024",,https://www.viva100.com/main/view.php?key=20240908010002410
Fourteenth Wave,"Bupyeong-ri, Jinjeop-eup, Namyangju-si, Gyeonggi-do",37.75418696,127.1828527,Gyeonggi Province,남양주시 진전읍 부평리,"September 6, 2024",,https://www.gukjenews.com/news/articleView.html?idxno=3084483
Fourteenth Wave,"42 Yongcheon-ro 205beon-gil, Namdong-gu, Incheon, South Korea",37.46963321,126.7164187,Incheon Metropolitan City,인천 남동구 간석동 신명여자고등학교,"September 6, 2024",,https://www.wikitree.co.kr/articles/981424
Fourteenth Wave,"Gyeyang-gu, Incheon, South Korea",37.54218308,126.7820175,Incheon Metropolitan City,인천시 계양구,"September 6, 2024",,https://www.joongang.co.kr/article/25276269
Fourteenth Wave,"Dongjak District, Seoul, South Korea",37.50300349,126.9751871,Seoul Special City,서울 동작구,"September 6, 2024",,https://www.joongang.co.kr/article/25276269
Thirteenth Wave,"Tae-ri, Gochon-eup, Gimpo-si, Gyeonggi-do, South Korea",37.59863271,126.753557,Gyeonggi Province,김포시 고촌읍 태리,"September 5, 2024",3:20 AM,https://www.gokorea.kr/news/articleView.html?idxno=804158
Twenty-fourth Wave,"Toegyewon-eup, Namyangju-si, Gyeonggi-do, South Korea",37.65487971,127.1475697,Gyeonggi Province,경기 남양주시 퇴계원읍,"October 4, 2024",11:00 AM,https://www.donga.com/news/Society/article/all/20241004/130158085/2
Twenty-second Wave,"Songnim-dong, Dong-gu, Incheon, South Korea",37.48135602,126.6575126,Incheon Metropolitan City,인천 동구 송림동,"September 22, 2024",,https://www.kyeonggi.com/article/20240923580049
Twenty-second Wave,"168 Bupyeong-daero, Bupyeong District, Incheon, South Korea",37.50744874,126.7230077,Incheon Metropolitan City,부평구 부평구청,"September 22, 2024",,https://www.kyeonggi.com/article/20240923580049
Twenty-second Wave,"272 Gonghang-ro, Jung-gu, Incheon, South Korea",37.458726,126.442676,Incheon Metropolitan City,인천공항,"September 22, 2024",,https://www.newsis.com/view/NISX20240923_0002895316
Twenty-second Wave,"22 Itaewon-ro, Hangangno-dong, Yongsan District, Seoul, South Korea",37.53457358,126.9773664,Seoul Special City,서울 용산구 합참 청사 상공,"September 22, 2024",,https://www.news1.kr/politics/diplomacy-defense/5547562
Twenty-third Wave,"172 Sejong-daero, Jongno District, Seoul, South Korea",37.57275792,126.9768125,Seoul Special City,서울 종로구 광화문 광장,"October 2, 2024",,https://www.news1.kr/photos/6906261
Twenty-third Wave,"Bupyeong District, Incheon, South Korea",37.50189412,126.7351138,Incheon Metropolitan City,인천 부평,"October 2, 2024",,https://imnews.imbc.com/replay/2024/nwtoday/article/6642482_36523.html
Twenty-fourth Wave,"Oseo-dong, Gangseo-gu, Seoul, South Korea",37.54422725,126.8039427,Seoul Special City,서울 강서구 오쇠동,"October 4, 2024",,https://news.tf.co.kr/read/photomovie/2138598.htm
Twenty-fourth Wave,"Junghak-dong, Jongno District, Seoul, South Korea",37.57544692,126.9801398,Seoul Special City,서울 종로구 중학동,"October 4, 2024",11:15 PM,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8073875&ref=A
Twenty-fourth Wave,"1 Uisadang-daero, Yeongdeungpo District, Seoul, South Korea",37.53184395,126.9146295,Seoul Special City,서울 영등포구 국회의사당,"October 4, 2024",,https://www.kmib.co.kr/article/view.asp?arcid=0020589317&code=61121111&cp=nv
Thirtieth Wave,Office of the President of the Republic of Korea,37.5332542,126.9861956,Seoul Special City,대한민국 대통령실/대통령 청사,"October 24, 2024",,https://en.yna.co.kr/view/AEN20241024002751315?section=national/defense
Thirty-first Wave,Ministry of Defense,37.534396,126.977707,Seoul Special City,대한민국 국방부,"November 18, 2024",,https://news.jtbc.co.kr/article/NB12223498
Thirty-first Wave,National Assembly Building,37.532068,126.914541,Seoul Special City,국회의사당,"November 18, 2024",,https://www.seoul.co.kr/news/politics/2024/11/18/20241118500239
