Wave number,Location,LAT,LON,Province,Korean Name,Date,Time,Source
Second Wave,"Hwajin Beach, Pohang",36.2497795,129.3753366,Gyeongsangbuk Province,포항 화진해수욕장,"June 2, 2024",,https://www.nocutnews.co.kr/news/6154290?utm_source=naver&utm_medium=article&utm_campaign=20240602011214
Second Wave,"Siheung-si, Gyeonggi-do",37.3798891,126.8032255,Gyeonggi Province,경기도 시흥시,"June 2, 2024",,https://www.newsis.com/view/?id=NISI20240602_0020362297
Second Wave,"Sosa-dong, Sosa-gu, Bucheon-si, Gyeonggi-do",37.49889,126.78306,Gyeonggi Province,경기도 부천 소사구 소사본동,"June 2, 2024",,https://www.kyeonggi.com/article/20240602580042
Second Wave,Chungbuk Cheongju City,36.6123808,127.5058417,Chungcheongbuk Province,충북 청주,"June 2, 2024",,https://www.newsis.com/view/?id=NISX20240602_0002757699&cID=10899&pID=10800
Second Wave,"Chungju, Chungcheongbuk-do",36.9907334,127.9259891,Chungcheongbuk Province,충북 충주,"June 2, 2024",,https://www.newsis.com/view/?id=NISX20240602_0002757699&cID=10899&pID=10800
Second Wave,Chungcheongbuk-do Jecheon,37.1270743,128.2059637,Chungcheongbuk Province,충북 제천,"June 2, 2024",,https://www.newsis.com/view/?id=NISX20240602_0002757699&cID=10899&pID=10800
Second Wave,"Heungdeok-gu, Osong Life Sciences Complex Support Center, Cheongju-si, Chungcheongbuk-do",36.63722,127.48972,Chungcheongbuk Province,충북 청주시 흥덕구 오송생명과학단지지원센터,"June 2, 2024",,https://www.newsis.com/view/?id=NISX20240602_0002757868&cID=10201&pID=10200
Third Wave,"Changneungcheon, Hwajeon-dong, Goyang-si, Gyeonggi-do",37.65639,126.835,Gyeonggi Province,경기 고양시 화전동 창릉천,"June 8, 2024",,https://www.ytn.co.kr/_ln/0101_202406090452182333
Third Wave,"Yeonan Pier, Jung-gu, Incheon",37.47353,126.62151,Incheon Metropolitan City,인천시 중구 연안부두,"June 9, 2024",,https://www.yna.co.kr/view/PYH20240609004900065?input=1196m
Third Wave,"Hwanggan-myeon, Yeongdong-gun, Chungcheongbuk-do",36.236126,127.897015,Chungcheongbuk Province,충북 영동군 황간면,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Incheon Seo-gu,37.545,126.676,Incheon Metropolitan City,서구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Ganghwa-gun,37.746,126.488,Incheon Metropolitan City,강화군,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,"Majeon-dong, Seo-gu, Incheon",37.5969838,126.6676253,Incheon Metropolitan City,인천 서구 마전동,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,"Jungsan-dong, Jung-gu, Incheon",37.49627,126.5583,Incheon Metropolitan City,인천 중구 중산동,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,"Inhu-ri, Sindun-myeon, Icheon-si",37.3109,127.40975,Gyeonggi Province,이천시 신둔면 인후리,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Ansan City,37.33315352,126.8393772,Gyeonggi Province,안산,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Gunpo,37.3615229,126.9349025,Gyeonggi Province,군포,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Gimpo,37.7506136,126.5591697,Gyeonggi Province,김포,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Suwon,37.2804,127.0078,Gyeonggi Province,경기도 수원시 10전투비행단,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,"Yongin-si, Cheoin-gu",37.2345,127.2017,Gyeonggi Province,용인시 처인구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,"Inhu-ri, Sindun-myeon, Icheon-si",37.3109,127.40975,Gyeonggi Province,이천시 신둔면 인후리,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,"Hangnyeongcheon, Hwajeon-dong, Deogyang-gu, Goyang-si",37.65639,126.835,Gyeonggi Province,고양시 덕양구 화전동 항릉천,"June 9, 2024",,https://www.yna.co.kr/view/AKR20240609004100060?input=1195m
Third Wave,"Geumchon-dong, Paju-si",37.7584627,126.7697535,Gyeonggi Province,파주시 금촌동,"June 9, 2024",,https://www.yna.co.kr/view/AKR20240609004100060?input=1195m
Third Wave,"Cheonjeon-ri, Sinbuk-eup, Chuncheon-si",37.9413242,127.7702114,Gangwon Province,춘천시 신북읍 천전리,"June 9, 2024",,https://www.yna.co.kr/view/AKR20240609023500062?input=1195m
Third Wave,"Hongcheon-eup, Hongcheon-gun, Gangwon Province",37.6894014,127.8843043,Gangwon Province,강원 홍천군 홍천읍 ,"June 9, 2024",,https://www.yna.co.kr/view/AKR20240609023500062?input=1195m
Third Wave,"Guman-ri, Bukbang-myeon, Hongcheon-gun, Gangwon Province",37.7214045,127.7268172,Gangwon Province,강원 홍천군 북방면 구만리,"June 9, 2024",,https://www.yna.co.kr/view/AKR20240609023500062?input=1195m
Third Wave,"Hwanggan-myeon, Yeongdong-gun, Chungcheongbuk-do",36.236126,127.897015,Chungcheongbuk Province,충북 영동군 황간면,"June 9, 2024",,https://www.news1.kr/articles/5441368
Third Wave,Seoul Dongdaemun-gu,37.5741982,127.0395092,Seoul Special City,서울 동대문구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Seoul Seongbuk-gu,37.59,127.0165,Seoul Special City,서울 성북구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Seoul Nowon-gu,37.6768806,127.0854209,Seoul Special City,서울 노원구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Seoul Jungnang-gu,37.6063,127.093,Seoul Special City,서울 중랑구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Seoul Eunpyeong-gu,37.6024,126.9293,Seoul Special City,서울 은평구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Seoul Jung-gu,37.5560719,126.9723599,Seoul Special City,서울 중구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Seoul Jongno-gu,37.5806949,126.9827989,Seoul Special City,서울 종로,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Seoul Seodaemun-gu,37.5790747,126.9367861,Seoul Special City,서울 서대문구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Seoul Gangnam-gu,37.5177,127.0473,Seoul Special City,서울 강남구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Seoul Yeongdeungpo-gu,37.5262,126.8959,Seoul Special City,서울 영등포구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Third Wave,Seoul Yongsan-gu,37.5534363,126.9697994,Seoul Special City,서울 용산구,"June 9, 2024",,https://www.newsis.com/view/?id=NISX20240609_0002765730&cID=10201&pID=10200
Fourth Wave,"Narul Elementary School, Hanam-si, Gyeonggi-do",37.53895,127.2125,Gyeonggi Province,경기도 하남시 나룰초등학교,"June 10, 2024",,https://www.kukinews.com/newsView/kuk202406100014
