year,address,type,lat,long
2014,"1212 s church st, jonesboro 72401",Church,35.832010921028484,-90.7041687156244
2014,"1522 n church st, jonesboro 72401",Church,35.85875863395694,-90.70326544439718
2014,"472 magnet school road, malvern 72104",School,34.4459152305659,-92.83831573808209
2014,"101 s. church st, mineral springs 71851",Church,33.875385441787614,-93.92237298597206
2014,"603 e dollarhide, foreman high school, foreman 71836",School,33.7139804184381,-94.39588959910333
2014,"17511 church rd, lonsdale 72087",Church,34.550765828746364,-92.7754657600509
2014,"702 church, benton 72015",Church,34.55550700762791,-92.54469468491277
2018,1212 s church st jonesboro ar 72401,Church,35.832010921028484,-90.7041687156244
2018,266 north church street st francis ar 72464,Church,36.45504216931607,-90.14262481577862
2018,#23 old schoolhouse road jerusalem ar 72080,School,35.403022345794795,-92.81819558706206
2018,1506 n church st jonesboro ar 72401,Church,35.85860134599437,-90.70326990891328
2018,17511 church rd lonsdale ar 72087,Church,34.550765828746364,-92.7754657600509
2018,first baptist church danville ar 72833,Church,35.054796249999995,-93.3861473
2018,32 school street pine bluff ar 71602,School,34.23551861075134,-92.05465942955084
2018,68 church circle wooster ar 72181,Church,35.20385912770956,-92.45145544312908
2018,101 s. church st mineral springs ar 71851,Church,33.875385441787614,-93.92237298597206
2018,702 church st. benton ar 72015,Church,34.55550700762791,-92.54469468491277
2018,101 west church st plumerville ar 72127,Church,35.1580195844291,-92.6415691328732
2020,"16 church rd, cleveland, ar 72030",Church,35.42144318153936,-92.70897400333456
2020,"101 w. church st, plumerville, ar 72127",Church,35.1580195844291,-92.6415691328732
2020,"1212 s church st, jonesboro, ar 72401",Church,35.832010921028484,-90.7041687156244
2020,"1506 n church st, jonesboro, ar 72401",Church,35.85860134599437,-90.70326990891328
2020,"68 church circle, wooster, ar 72181",Church,35.20385912770956,-92.45145544312908
2020,"142 magnet school rd, malvern, ar 72104",School,34.448474575214675,-92.83882082139166
2020,"32 school street, pine bluff, ar 71602",School,34.23551861075134,-92.05465942955084
2020,"60 school st., lynn, ar 72440",School,36.008464447957294,-91.25304980823768
2020,"de queen church of christ, 1301 w collin raye drive, de queen, ar 71832",Church,34.04634559129613,-94.35486603917877
2020,"lockesburg united methodist church, 114 valley drive, lockesburg, ar 71846",Church,33.9683745047044,-94.165681214105
2020,"faith assembly of god church, 2186 hwy 167, evening shade, ar 72532",Church,36.07753020169224,-91.61364647328577
2020,"100 church st, martinez, ca 94553",Church,37.9854380905395,-122.12237736149245
2020,"2515 church ave, bakersfield, ca 93306",Church,35.410465682967356,-118.96584406169313
2020,"446 w church ave, ridgecrest, ca 93555",Church,35.61893399214915,-117.67777555183164
2020,"451 school st, point arena, ca 95468",School,38.9140119374004,-123.7008050788026
2020,"73 school st, bridgeport, ca 93517",School,38.255396386543055,-119.22874569463863
