state_abbr,district,geometry
MI,9,"list(list(c(-83.324892, -83.248568, -83.209216, -83.265869, -83.249165, -83.086882, -83.0899, -82.993045, -82.973317, -82.856299, -82.8594470293087, -82.860210200131, -82.8675319449814, -82.8703322691976, -83.083393, -83.151986, -83.203746, -83.31993, -83.324892, 42.618331, 42.619938, 42.620995, 42.596299, 42.530851, 42.534792, 42.593009, 42.582475, 42.627811, 42.630228, 42.540853518224, 42.5345545050925, 42.4741227306931, 42.4510095842051, 42.447153, 42.446007, 42.517463, 42.507426, 42.618331)))"
FL,13,"list(list(c(-82.840882, -82.8283313947751, -82.814859, -82.648817, -82.573419, -82.5663805212513, -82.586519, -82.622723, -82.62502, -82.652521, -82.705017, -82.733076, -82.738467, -82.746223, -82.790224, -82.846526, -82.840882, 27.937162, 28.0190315348922, 27.997285, 27.979178, 27.909, 27.8363382177134, 27.816703, 27.779868, 27.732706, 27.700307, 27.62531, 27.612972, 27.678504, 27.731306, 27.791603, 27.854301, 27.937162)))"
KS,3,"list(list(c(-95.056258, -94.923349, -94.908765, -94.900191, -94.7919946737433, -94.741938, -94.680336, -94.623934, -94.6019379819211, -94.591933, -94.607354, -94.607870353374, -94.608334, -94.6089603437495, -94.609456, -94.6094896723458, -94.6119580183223, -94.704267, -94.708455, -94.808207, -94.834341, -94.908606, -95.056412, -95.056258, 38.98212, 39.002633, 38.991401, 39.202911, 39.2012602502402, 39.170203, 39.184303, 39.156603, 39.1555032334638, 39.155003, 39.113444, 39.0440850964785, 38.981806, 
38.847211315445, 38.7407, 38.7381017094732, 38.5476344342717, 38.548863, 38.606605, 38.606581, 38.709677, 38.738281, 38.738587, 38.98212)))"
NY,12,"list(list(c(-74.013784, -73.9845857755727, -73.9712111786194, -73.968082, -73.9658345170463, -73.912456, -73.920999, -73.911731, -73.911321, -73.923127, -73.922711, -73.965572, -73.962645, -74.0234915337322, -74.013784, 40.756601, 40.7975527523865, 40.8163111938137, 40.8207, 40.8247452595586, 40.796096, 40.781749, 40.729964, 40.719624, 40.717024, 40.716478, 40.71895, 40.722747, 40.7374531654873, 40.756601)))"
AZ,9,"list(list(c(-112.147914, -111.957023, -111.982564, -112.073774, -112.116908, -112.082113, -111.834999, -111.842246, -111.824306, -111.893596, -112.129597, -112.147914, 33.304647, 33.356407, 33.480173, 33.480249, 33.538569, 33.58209, 33.458938, 33.376635, 33.291674, 33.291148, 33.290446, 33.304647)))"
PA,10,"list(list(c(-77.204687, -76.974219, -76.91497, -77.020799, -76.949397, -76.992396, -76.949148, -76.919272, -76.701624, -76.535414, -76.67804, -76.566339, -76.697352, -76.72162, -76.663825, -76.644508, -76.622639, -76.828556, -76.966202, -77.018648, -77.137425, -77.177403, -77.24851, -77.204687, 40.287047, 40.31033, 40.328484, 40.36623, 40.469037, 40.567877, 40.628167, 40.603544, 40.658082, 40.555157, 40.474717, 40.196644, 40.15664, 40.12007, 40.063227, 40.058069, 39.903668, 39.943513, 39.935192, 
40.013947, 40.069945, 40.037434, 40.207215, 40.287047)))"
MO,5,"list(list(c(-94.608334, -94.607870353374, -94.607354, -94.591933, -94.576552, -94.585247, -94.529991, -94.475102, -94.447761, -94.408628, -94.36598, -94.335213, -94.281527, -94.369422, -94.363072, -94.264919, -94.272926, -94.305364, -94.110005, -94.104823, -94.173519, -94.212515, -94.210642, -94.208423, -93.759183, -93.758463, -93.650526, -93.49196, -93.477233, -93.399133, -93.333337, -93.332252, -93.230079, -93.200708, -93.104485, -93.072915, -92.959801, -92.911669, -92.849224, -92.94385, -92.934569, 
-93.048471, -93.050453, -93.496377, -93.497278, -93.834719, -94.114175, -94.119096, -94.6089603437495, -94.608334, 38.981806, 39.0440850964785, 39.113444, 39.155003, 39.181183, 39.235166, 39.233386, 39.206274, 39.175903, 39.193603, 39.163227, 39.183337, 39.109761, 39.03378, 38.902884, 38.893961, 39.001944, 39.034168, 39.014987, 39.143507, 39.213829, 39.207086, 39.454682, 39.5272, 39.524558, 39.207021, 39.248214, 39.223461, 39.292796, 39.226437, 39.250012, 39.309606, 39.327877, 39.401787, 39.383656, 
39.33552, 39.312526, 39.223946, 39.226218, 39.121738, 39.064547, 38.972418, 38.928244, 38.942837, 38.92843, 38.937909, 38.917304, 38.833167, 38.847211315445, 38.981806)))"
FL,25,"list(list(c(-81.746167, -81.6579, -81.659506, -81.56218, -81.563763, -81.565103, -81.565748, -80.945319, -80.885639, -80.881285, -80.87971, -80.872932, -80.680038, -80.680016, -80.326712, -80.28727, -80.259431, -80.240136, -80.28812, -80.336173, -80.873125, -80.873096, -81.4423076374621, -81.472239, -81.614735, -81.6402369580568, -81.653656, -81.59237, -81.745261, -81.746167, 26.316896, 26.317563, 26.421077, 26.422625, 26.513331, 26.600333, 26.769601, 26.769099, 26.958919, 26.333806, 26.259308, 25.979434, 
25.978749, 25.956857, 25.957118, 25.881322, 25.88206, 25.805349, 25.77078, 25.76199, 25.760885, 25.805377, 25.8033302508746, 25.81693, 25.893977, 25.8775375792851, 25.934508, 25.994283, 26.10922, 26.316896)))"
MI,14,"list(list(c(-83.439292, -83.325395, -83.29149, -83.248568, -83.324892, -83.31993, -83.203746, -83.151986, -83.083393, -82.8703322691976, -82.870347, -82.92397, -82.9496720986456, -83.089417, -83.198422, -83.203632, -83.316825, -83.433734, -83.439292, 42.560141, 42.629525, 42.69931, 42.619938, 42.618331, 42.507426, 42.517463, 42.446007, 42.447153, 42.4510095842051, 42.450888, 42.352068, 42.3442642212205, 42.418161, 42.394273, 42.444746, 42.442033, 42.43894, 42.560141)))"
